,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Parkwoods,43.75188064575195,-79.33036041259766,Brookbanks Park,43.751976046055574,-79.33214044722958,Park
1,Parkwoods,43.75188064575195,-79.33036041259766,PetSmart,43.748639084843475,-79.33348827385937,Pet Store
2,Parkwoods,43.75188064575195,-79.33036041259766,Brookbanks Pool,43.751388971393176,-79.33218445820336,Pool
3,Parkwoods,43.75188064575195,-79.33036041259766,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink Shop
4,Victoria Village,43.73041915893555,-79.31282043457031,Wigmore Park,43.731023438497964,-79.3107706628902,Park
5,Victoria Village,43.73041915893555,-79.31282043457031,Memories of Africa,43.72660188313635,-79.31242694132447,Grocery Store
6,Victoria Village,43.73041915893555,-79.31282043457031,The Retreat Nail & Beauty Bar,43.726134,-79.312205,Nail Salon
7,Victoria Village,43.73041915893555,-79.31282043457031,Eglinton Ave E & Sloane Ave/Bermondsey Rd,43.726086,-79.31362,Intersection
8,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Roselle Desserts,43.653446723052674,-79.3620167174383,Bakery
9,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Tandem Coffee,43.65355870959944,-79.36180945913513,Coffee Shop
10,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Figs Breakfast & Lunch,43.65567455427388,-79.3645032892494,Breakfast Spot
11,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,The Yoga Lounge,43.65551522261721,-79.36495542526245,Yoga Studio
12,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Body Blitz Spa East,43.65473505045365,-79.35987433132891,Spa
13,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Morning Glory Cafe,43.653946942635294,-79.36114884214422,Breakfast Spot
14,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Rooster Coffee,43.65189965670432,-79.36560912104514,Coffee Shop
15,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Berkeley Church,43.65512324174501,-79.36587330410705,Event Space
16,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub
17,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Starbucks,43.651613,-79.364917,Coffee Shop
18,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Mangia and Bevi Resto-Bar,43.652249517927686,-79.36635530500347,Italian Restaurant
19,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Sukhothai,43.658444465539525,-79.36568085121628,Thai Restaurant
20,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop
21,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant
22,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Cooper Koo Family YMCA,43.65324910177244,-79.35800826343677,Distribution Center
23,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Alumnae Theatre,43.65275554626444,-79.36475283805089,Theater
24,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,The Extension Room,43.65331304337331,-79.35972538072777,Gym / Fitness Center
25,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,I Love Churros,43.65836361668554,-79.36558277878224,Food Truck
26,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Vistek,43.65704640025721,-79.35966695607046,Electronics Store
27,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop
28,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,Salvation Army Thrift Store,43.65779060893759,-79.36551603602793,Thrift / Vintage Store
29,"Regent Park, Harbourfront",43.6551399230957,-79.3626480102539,The Healthy Road,43.656264585886454,-79.35711882680904,Health Food Store
30,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,The Lego Store,43.725146367972975,-79.45297438060997,Toy / Game Store
31,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Ted Baker London,43.72451893248142,-79.45270961233477,Clothing Store
32,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Yorkdale Shopping Centre,43.72548184266099,-79.45273563264436,Shopping Mall
33,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Holt Renfrew,43.72462470639476,-79.45166362398024,Clothing Store
34,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Williams-Sonoma,43.72549729371171,-79.45180914321543,Kitchen Supply Store
35,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Apple Yorkdale,43.7242617,-79.4531034,Electronics Store
36,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,SEPHORA,43.725469563870774,-79.45199960939351,Cosmetics Shop
37,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,Nordstrom,43.7260545,-79.4494431,Clothing Store
38,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,John Varvatos,43.724428411509365,-79.4536886988404,Men's Store
39,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,UNIQLO ユニクロ,43.72644624289554,-79.450564443079,Clothing Store
40,"Lawrence Manor, Lawrence Heights",43.72320938110352,-79.45140838623047,JOEY,43.724131425481275,-79.45404167853917,American Restaurant
